Checked by,Final Decision ,Name,Source (Paper),Year (Paper),Source (Code),Year (Code),Official Code?,Constraints (open-source code),Source (Benchmark / Survey),Number of appearances,Free Comments,Potential issue,Deterministic?,Robustness,Leakage-safety?,Implemented in TabArena?
Basti,Yes,chi squared,https://doi.org/10.1109/TAI.1995.479783,1995,https://github.com/scikit-learn/scikit-learn/blob/b345ff7cadeb9f80035041e9bdf931cc695413d5/sklearn/feature_selection/_univariate_selection.py#L200,2025,No,,"Benchmark for filter methods for feature selection in high-dimensional classification data, Filter Methods for Feature Selection in Supervised Machine Learning Applications, Feature Selection: A Data Perspective, A review of feature selection methods with applications, Evaluation of feature selection methods for text classification with small datasets using multiple criteria decision-making methods, Filter methods",6,Uses consistency,,,,,Yes
Basti,Yes,Laplacian score,https://proceedings.neurips.cc/paper_files/paper/2005/file/b5b03f06271f8917685d14cea7c6c50a-Paper.pdf,2005,https://github.com/jundongl/scikit-feature/blob/master/skfeature/function/similarity_based/lap_score.py,2015,No,"None, #features","A Survey on semi-supervised feature selection methods, Feature Selection: A Data Perspective, A Survey on Feature Selection, A review of feature selection methods with applications, Semi-supervised Feature Selection via Spectral Analysis",5,,,,,,Yes
Basti,"Too few citations, Variation of another method",OSCAR,https://doi.org/10.1111/j.1541-0420.2007.00843.x,2008,,,,,Feature Selection for Classification: A Review,1,,,,,,No
Basti,"Too few citations, Variation of another method",Graph FS (GOSCAR),https://doi.org/10.1145/2339530.2339675,2012,,,,,"Feature Selection: A Data Perspective, Feature Selection for Classification: A Review",2,,,,,,No
Basti,"Yes, No, Variation of another method",Spectral FS (SPEC),https://doi.org/10.1145/1273496.1273641,2007,,,,,"Feature Selection: A Data Perspective, A Survey on Feature Selection, A review of feature selection methods with applications",3,"Cited three times, but we do not necessarily need to include it IMO, because ReliefF and Laplacian Score are special cases of the proposed framework",,,,,"In Progress, but not sure if we should include it"
Basti,Too few citations,Constraint score,https://doi.org/10.1016/j.patcog.2007.10.009,2008,,,,,A Survey on semi-supervised feature selection methods,1,,,,,,No
Basti,Too few citations,NDFS,https://doi.org/10.1609/aaai.v26i1.8289,2012,,,,,"A Survey on Feature Selection, Feature Selection: A Data Perspective",2,,,,,,No
Basti,"Yes, Variation of another method",MCFS,https://doi.org/10.1145/1835804.1835848,2010,,,,,"Feature Selection: A Data Perspective, A Survey on Feature Selection, A review of feature selection methods with applications",3,Combination of Graph for nearest neighbors with lasso regularization,,,,,"In Progress, but not sure if we should include it"
Basti,"Too few citations, Variation of another method",EUFS,https://doi.org/10.1609/aaai.v29i1.9211,2015,,,,,A Survey on Feature Selection,1,,,,,,No
Basti,"Too few citations, Variation of another method",GFLasso,https://doi.org/10.1371/journal.pgen.1000587,2009,,,,,Feature Selection for Classification: A Review,1,,,,,,No
"Basti, Ricardo, Dominika",Yes,Lasso (L1),https://doi.org/10.1111/j.2517-6161.1996.tb02080.x,1996,,,,,"A Performance-Driven Benchmark for Feature Selection in Tabular Deep Learning, Benchmark study of feature selection strategies for multi‑omics data, Feature Selection: A Data Perspective, ROOFS: Robust Bio Marker Feature Selection, Stability selection, Variable selection - A review and recommendations for the practicing statistician, Feature selection: a review and comparative study, A review of feature selection methods with applications",8,"This is the original lasso paper or maybe this one https://www.aliquote.org/pub/tibshirani_1997_StatsMed.pdf, there is also a later version, which is cited once (https://doi.org/10.1093/bib/bbn027) ",,,,,Yes
Basti,"Too few citations, Variation of another method",1L Lasso,,,,,,,A Performance-Driven Benchmark for Feature Selection in Tabular Deep Learning,1,,,,,,No
Basti,"Yes, Variation of another method",Group Lasso,https://doi.org/10.48550/arXiv.2010.08097,2020,,,,,"A Performance-Driven Benchmark for Feature Selection in Tabular Deep Learning, Feature Selection: A Data Perspective, Feature Selection for Classification: A Review",3,,,,,,"In Progress, but not sure if we should include it"
Basti,"Too few citations, Variation of another method",Lasso Net,https://doi.org/10.48550/arXiv.1907.12207,2019,,,,,A Performance-Driven Benchmark for Feature Selection in Tabular Deep Learning,1,,,,,,No
Basti,"Too few citations, Variation of another method",Tree Lasso,https://doi.org/10.48550/arXiv.2311.05877,2023,,,,,A Performance-Driven Benchmark for Feature Selection in Tabular Deep Learning,1,"The paper is not a benchmark, it's a method paper",,,,,No
Basti,"Too few citations, Variation of another method","Tree
structured group Lasso",https://proceedings.neurips.cc/paper_files/paper/2010/file/d490d7b4576290fa60eb31b5fc917ad1-Paper.pdf,2010,,,,,Feature Selection: A Data Perspective,1,,,,,,No
Basti,"Too few citations, Variation of another method",Tree-guided group Lasso,,,,,,,Feature Selection for Classification: A Review,1,,,,,,No
Basti,"Too few citations, Variation of another method",Stabl Lasso,,,,,,,ROOFS: Robust Bio Marker Feature Selection,1,,,,,,No
Basti,"Too few citations, Variation of another method",GF Lasso,https://doi.org/10.1371/journal.pgen.1000587,2009,,,,,Feature Selection: A Data Perspective,1,,,,,,No
Basti,"Too few citations, Variation of another method",Adaptive Lasso,,,,,,,"ROOFS: Robust Bio Marker Feature Selection, Feature Selection for Classification: A Review",2,,,,,,No
Basti,"Too few citations, Variation of another method",Bolasso,,,,,,,ROOFS: Robust Bio Marker Feature Selection,1,,,,,,No
Basti,"Too few citations, Variation of another method",Exclusive Lasso,,,,,,,ROOFS: Robust Bio Marker Feature Selection,1,,,,,,No
Basti,"Too few citations, Variation of another method",HSIC Lasso,,,,,,,ROOFS: Robust Bio Marker Feature Selection,1,,,,,,No
Basti,"Too few citations, Variation of another method",Sparse Group Lasso,,,,,,,Feature Selection for Classification: A Review,1,,,,,,No
Basti,"Too few citations, Variation of another method",Randomized Lasso,,,f,,,,Stability selection,1,,,,,,No
"Basti, Dominika",Yes,Elastic net,https://doi.org/10.1111/j.1467-9868.2005.00503.x,2005,,,,,"Feature Selection for Classification: A Review, A review of feature selection methods with applications, Benchmark study of feature selection strategies for multi‑omics data",3,,,,,,Yes
Basti,"Too few citations, Variation of another method",Repeated Elastic Net Technique (RENT),https://doi.org/10.1109/ACCESS.2021.3126429,2021,,,,,ROOFS: Robust Bio Marker Feature Selection,1,,,,,,No
Basti,Too few citations,Interaction Capping,https://www.jmlr.org/papers/volume12/jenatton11b/jenatton11b.pdf,2011,,,,,"Feature Selection: A Data Perspective, Conditional Likelihood Maximisation: A Unifying Framework for Information Theoretic Feature Selection",2,,,,,,No
Basti,"Too few citations, Variation of another method",UDFS,https://doi.org/10.5591/978-1-57735-516-8/IJCAI11-267,2011,,,,,"Feature Selection: A Data Perspective, A Survey on Feature Selection",2,"New usage of regularization, is a variation of lasso regularization IMO",,,,,No
Basti,"Too few citations, Variation of another method",Grafting,https://www.jmlr.org/papers/volume3/perkins03a/perkins03a.pdf,2003,,,,,"Feature Selection: A Data Perspective, Feature Selection for Classification: A Review",2,They are using a combination of l012 regularization,,,,,No
Basti,Too few citations,Logistic Regression Coefficients,No formula provided,,,,,,ROOFS: Robust Bio Marker Feature Selection,1,It is called LR-RFE in the ROOFS benchmark,,,,,No
Basti,"Wrong data domain, Too few citations",LIME (Images),https://doi.org/10.48550/arXiv.1602.04938,2019,https://github.com/marcotcr/lime,,,,Explaining by removing: a unified framework for model explanation,1,This is a method for Images,,,,,No
Basti,"Wrong data domain, Too few citations",Minimal image representation (MIR),https://doi.org/10.48550/arXiv.1412.6856,2014,,,,,Explaining by removing: a unified framework for model explanation,1,This is a method for Images,,,,,No
Basti,"Wrong data domain, Too few citations",Sparse-based filter method,https://doi.org/10.1109/TNNLS.2014.2314123,2015,,,,,A Survey on semi-supervised feature selection methods,1,This is a method for Videos,,,,,No
Basti,"Wrong data domain, Too few citations",LinkedFS,https://doi.org/10.1137/1.9781611972825.11,2012,,,,,Feature Selection: A Data Perspective,1,Linked Data,,,,,No
Basti,"Wrong data domain, Too few citations",LUFS,https://doi.org/10.1145/2339530.2339673,2012,,,,,Feature Selection: A Data Perspective,1,Linked Data,,,,,No
Basti,"Wrong data domain, Too few citations",NetFS,https://doi.org/10.1109/ICDM.2016.0127,2016,,,,,Feature Selection: A Data Perspective,1,Linked Data,,,,,No
Basti,"Wrong data domain, Too few citations",USFS,https://doi.org/10.1145/2806416.2806501,2015,,,,,Feature Selection: A Data Perspective,1,Streamed Data,,,,,No
Basti,"Wrong data domain, Too few citations",OSFS,https://icml.cc/Conferences/2010/papers/238.pdf,2010,,,,,"Feature Selection: A Data Perspective, Feature Selection for Classification: A Review",2,Streamed Data,,,,,No
Basti,"Wrong data domain, Too few citations",FSDS,https://doi.org/10.1145/2806416.2806521,2015,,,,,Feature Selection: A Data Perspective,1,Streamed Data,,,,,No
Basti,"Wrong data domain, Too few citations",OFS,https://doi.org/10.1109/TKDE.2013.32,2014,,,,,Online feature selection and its applications,1,Streamed Data,,,,,No
Basti,"Wrong data domain, Too few citations",GDCOV,https://dl.acm.org/doi/10.5555/3053814.3053817,2008,,,,,Feature Selection: A Data Perspective,1,"This is not a real Tabular Feature Selection Method, they are using data of different sources",,,,,No
Basti,"Wrong data domain, Too few citations",AUMFS,https://doi.org/10.1007/978-3-642-37331-2_26,2013,,,,,Feature Selection: A Data Perspective,1,"This is not a real Tabular Feature Selection Method, they are using data of different sources",,,,,No
Basti,"Wrong data domain, Too few citations",MVFS,https://doi.org/10.1137/1.9781611972832.30,2013,,,,,Feature Selection: A Data Perspective,1,"This is not a real Tabular Feature Selection Method, they are using data of different sources",,,,,No
Basti,Too few citations,Alpha-Investing,https://doi.org/10.1145/1081870.1081914,2005,,,,,"Feature Selection: A Data Perspective, Feature Selection for Classification: A Review",2,,,,,,No
Basti,Too few citations,LS (Flip) best improve,,,,,,None,Arnaud,0,"I think there is no proof for the usage in literature. We could still choose to include it, the implementation is already done",,,,,Yes
Basti,Too few citations,LS (Flip Swap) first improve,,,,,,,Arnaud,0,"I think there is no proof for the usage in literature. We could still choose to include it, the implementation is already done",,,,,"In Progress, but not sure if we should include it"
Basti,"Yes, Wrong data domain",Markov blanket,http://ilpubs.stanford.edu:8090/208/,1996,,,,,"A review of feature selection techniques in bioinformatics, An Introduction to Variable and Feature Selection, Feature Selection: A Data Perspective",3,,,,,,"Yes, to verify"
Basti,"No, Variation of another method",SVM-RFE,https://doi.org/10.1023/A:1012487302797,2002,,,,,"A survey on feature selection methods, Feature selection: a review and comparative study, Robust feature selection using ensemble feature selection techniques, A review of feature selection methods on synthetic data, A survey of feature selection and feature extraction techniques in machine learning, Feature Selection: A Data Perspective",6,This is just one particular case of SBE/RFE using a SVM model,,,,,No
"Ricardo, Basti",Yes,SFS (sequential forward selection),https://scikit-learn.org/stable/modules/feature_selection.html#sequential-feature-selection,,,,,,"Ricardo, Arnaud, A Survey on Evolutionary Computation Approaches to Feature Selection, Wrappers for feature subset selection, An Introduction to Variable and Feature Selection, A review of feature selection techniques in bioinformatics, A survey on feature selection methods, Feature selection: a review and comparative study, Overfitting in making comparisons between variable selection methods, Feature selection: Evaluation application and small sample performance, Conditional Likelihood Maximisation: A Unifying Framework for Information Theoretic Feature Selection, Variable selection - A review and recommendations for the practicing statistician",10,,,,,,In Progress
"Ricardo, Basti",Yes,SBE (sequential backward elimination),https://scikit-learn.org/stable/modules/feature_selection.html#sequential-feature-selection,,,,,,"Ricardo, Arnaud, Wrappers for feature subset selection, A review of feature selection techniques in bioinformatics, An Introduction to Variable and Feature Selection, Robust feature selection using ensemble feature selection techniques, Benchmark study of feature selection strategies for multi‑omics data, Variable selection - A review and recommendations for the practicing statistician, Conditional Likelihood Maximisation: A Unifying Framework for Information Theoretic Feature Selection, Feature selection: Evaluation application and small sample performance",8,Sometimes called RFE (recursive feature elimination) or SBS (sequential backward selection),,,,,In Progress
Basti,"Yes, Variation of another method",SFFS,https://doi.org/10.1016/0167-8655(94)90127-9,1994,,,,,"Overfitting in making comparisons between variable selection methods, A review of feature selection methods with applications, A survey on feature selection methods",3,"Based on SFS, maybe we don't need this",,,,,"In Progress, but not sure if we should include it"
Basti,"Yes, Variation of another method, Too few citations",SFBE,https://doi.org/10.1016/0167-8655(94)90127-9,1994,,,,,"Feature selection: Evaluation application and small sample performance, A review of feature selection methods with applications",2,"Based on SBE, maybe we can exclude it (also due to few citations)",,,,,"In Progress, but not sure if we should include it"
"Basti, Ricardo","No, Too few citations",univariate model score,,,,,,,Benchmark for filter methods for feature selection in high-dimensional classification data,1,"Fits a model for each feature in which only this feature is used to predict the class variable. Based on these models, the predictive performance of all features is assessed and the resulting filter score is Junivariate.model.score(Xk)=accuracy of univariate predictive model that only uses Xk --> possible not only based on predictive performance, but also on univariate linear model with largest coefficient magnitude (Pearson correlation coefficient magnitude)",,,,,No
Basti,Too few citations,Genetic Algorithm (Siedlecki),https://doi.org/10.1016/0167-8655(89)90037-8,1989,,,,,"Feature selection: Evaluation application and small sample performance, A Survey on Evolutionary Computation Approaches to Feature Selection",2,,,,,,No
Basti,Too few citations,Genetic Algorithm (Yang),https://doi.org/10.1109/5254.671091,2002,,,,,"A Survey on Evolutionary Computation Approaches to Feature Selection, Benchmark study of feature selection strategies for multi‑omics data",2,,,,,,No
Basti,"Too few citations, TBD",MAFESE,https://doi.org/10.1016/j.future.2024.06.006,2024,https://github.com/thieu1995/mafese,2025,,#features,How Usable is Automated Feature Engineering for Tabular Data,1,"This is a library, not an algorithm, even if ",,,,,Yes
Basti,Our Method,TabFS,Dominika,2026,None,,,,,0,,,,,,Yes
Basti,Our Method,MetaFS,Bastian,2025,None,2025,,"Time, Memory",,0,,,,,,Yes
Basti,Too few citations,AISCBR,https://doi.org/10.1016/j.asoc.2011.05.054,2011,,,,,A Survey on Evolutionary Computation Approaches to Feature Selection,1,"Evolutionary Computing, probably nonsense",,,,,
Basti,Too few citations,IAIRS,https://doi.org/10.1016/j.knosys.2014.07.013,2014,,,,,,0,"Evolutionary Computing, probably nonsense",,,,,
Basti,Too few citations,bumble bees mating optimization FS,https://doi.org/10.1007/s13042-014-0276-7,2014,,,,,A Survey on Evolutionary Computation Approaches to Feature Selection,1,"Evolutionary Computing, probably nonsense",,,,,
Basti,Too few citations,bee colony approach FS,https://doi.org/10.1109/CEC.2015.7257185,2015,,,,,A Survey on Evolutionary Computation Approaches to Feature Selection,1,"Evolutionary Computing, probably nonsense",,,,,
Basti,Too few citations,Evolution Strategy FS,https://doi.org/10.1109/CEC.2009.4982945,2009,,,,,A Survey on Evolutionary Computation Approaches to Feature Selection,1,"Evolutionary Computing, probably nonsense",,,,,
Basti,Too few citations,SOD-LSC,https://doi.org/10.1145/2576768.2598371,2014,,,,,A Survey on Evolutionary Computation Approaches to Feature Selection,1,"Evolutionary Computing, probably nonsense",,,,,
Basti,Too few citations,XCSCF^2,https://doi.org/10.1145/2598394.2611383,2014,,,,,A Survey on Evolutionary Computation Approaches to Feature Selection,1,"Evolutionary Computing, probably nonsense",,,,,
Basti,Too few citations,MBEGA,https://doi.org/10.1016/j.patcog.2007.02.007,2007,,,,,A Survey on Evolutionary Computation Approaches to Feature Selection,1,,,,,,
Basti,Too few citations,MA-C,https://doi.org/10.1016/j.knosys.2010.03.016,2010,,,,,A Survey on Evolutionary Computation Approaches to Feature Selection,1,,,,,,
Basti,Too few citations,Combined Ant Colony and Differential Evolution FS Algorithm,https://doi.org/10.1007/978-3-540-87527-7_1,2008,,,,,A Survey on Evolutionary Computation Approaches to Feature Selection,1,,,,,,
Basti,Too few citations,DE 2,https://doi.org/10.1080/10556788.2013.834900,2014,,,,,A Survey on Evolutionary Computation Approaches to Feature Selection,1,,,,,,
Basti,Too few citations,ACO 1,https://doi.org/10.1007/978-3-540-25948-0_31,2004,,,,,A Survey on Evolutionary Computation Approaches to Feature Selection,1,,,,,,
Basti,Too few citations,ACO 2,https://doi.org/10.1109/CEC.2010.5586080,2010,,,,,A Survey on Evolutionary Computation Approaches to Feature Selection,1,,,,,,
Basti,Too few citations,ACO 3,https://doi.org/10.1016/j.sigpro.2012.10.022,2012,,,,,A Survey on Evolutionary Computation Approaches to Feature Selection,1,,,,,,
Basti,Too few citations,ACO 4,https://doi.org/10.1016/j.asoc.2014.07.024,2014,,,,,A Survey on Evolutionary Computation Approaches to Feature Selection,1,,,,,,
Basti,Too few citations,PSO 1,https://doi.org/10.1016/j.ejor.2010.02.032,2010,,,,,A Survey on Evolutionary Computation Approaches to Feature Selection,1,,,,,,
Basti,Too few citations,PSO 2,https://doi.org/10.1109/TSMCB.2012.2227469,2013,,,,,A Survey on Evolutionary Computation Approaches to Feature Selection,1,,,,,,
Basti,Too few citations,PSO 3,https://doi.org/10.1021/jm0104668,2002,,,,,A Survey on Evolutionary Computation Approaches to Feature Selection,1,,,,,,
Basti,Too few citations,GP 1,https://doi.org/10.1109/TSMCB.2005.854499,2006,,,,,A Survey on Evolutionary Computation Approaches to Feature Selection,1,,,,,,
Basti,Too few citations,GP 2,https://doi.org/10.1109/CEC.2010.5586536,2010,,,,,A Survey on Evolutionary Computation Approaches to Feature Selection,1,,,,,,
Basti,Too few citations,GP 3,https://doi.org/10.1007/978-3-642-29139-5_9,2012,,,,,A Survey on Evolutionary Computation Approaches to Feature Selection,1,,,,,,
Basti,Too few citations,GA 1,https://doi.org/10.1016/0167-8655(89)90037-8,1989,,,,,A Survey on Evolutionary Computation Approaches to Feature Selection,1,,,,,,
Basti,Too few citations,GA 2,https://doi.org/10.1016/j.patcog.2009.06.009,2010,,,,,A Survey on Evolutionary Computation Approaches to Feature Selection,1,,,,,,
Basti,Too few citations,GA 3,https://doi.org/10.1057/jors.2013.72,2014,,,,,A Survey on Evolutionary Computation Approaches to Feature Selection,1,,,,,,
Dominika,Too few citations,signal-to-noise (SNR),https://doi.org/10.1016/j.patrec.2007.02.014,2007,The Spider Package (page unavailable). Probably this one is up to date.,,,,Competitive baseline methods set new standards for the NIPS 2003 feature selection benchmark,1,Implementation not available in the new package.,,,,,
Dominika,Too few citations,true positives (TP),https://doi.org/10.1016/j.patrec.2007.02.014,2007,The Spider Package (page unavailable). Probably this one is up to date.,,,,Competitive baseline methods set new standards for the NIPS 2003 feature selection benchmark,1,Implementation not available in the new package.,,,,,
Basti,Too few citations,IME (2009),,,,,,,Explaining by removing: a unified framework for model explanation,1,,,,,,
Basti,Too few citations,IME (2010),,,,,,,Explaining by removing: a unified framework for model explanation,1,,,,,,
Basti,Too few citations,QII,https://doi.org/10.1109/SP.2016.42,2016,,,,,Explaining by removing: a unified framework for model explanation,1,,,,,,
Basti,Too few citations,SPVIM,,,,,,,Explaining by removing: a unified framework for model explanation,1,,,,,,
Basti,Too few citations,Permutation Test,https://doi.org/10.1023/A:1010933404324,2001,,,,,Explaining by removing: a unified framework for model explanation,1,,,,,,
Basti,Too few citations,Conditional Perm. Test,https://doi.org/10.1186/1471-2105-9-307,2008,,,,,Explaining by removing: a unified framework for model explanation,1,,,,,,
Basti,Too few citations,Feature Ablation (LOCO),,,,,,,Explaining by removing: a unified framework for model explanation,1,,,,,,
Basti,Too few citations,Univariate Predictors,,,,,,,Explaining by removing: a unified framework for model explanation,1,,,,,,
Basti,Too few citations,L2X,,,,,,,Explaining by removing: a unified framework for model explanation,1,,,,,,
Basti,Too few citations,REAL-X,,,,,,,Explaining by removing: a unified framework for model explanation,1,,,,,,
Basti,Too few citations,INVASE,,,,,,,Explaining by removing: a unified framework for model explanation,1,,,,,,
Basti,Too few citations,LIME (Tabular),https://dl.acm.org/doi/pdf/10.5555/3546258.3546467,2021,,,,,Explaining by removing: a unified framework for model explanation,1,,,,,,
Basti,Too few citations,PredDiﬀ,https://doi.org/10.48550/arXiv.1702.04595,2017,,,,,Explaining by removing: a unified framework for model explanation,1,,,,,,
Basti,Too few citations,Occlusion,https://doi.org/10.48550/arXiv.1311.2901,2014,,,,,Explaining by removing: a unified framework for model explanation,1,,,,,,
Basti,Too few citations,CXPlain,https://doi.org/10.48550/arXiv.1910.12336,2019,,,,,Explaining by removing: a unified framework for model explanation,1,,,,,,
Basti,Too few citations,RISE,https://doi.org/10.48550/arXiv.1806.07421,2018,,,,,Explaining by removing: a unified framework for model explanation,1,,,,,,
Basti,Too few citations,MM,https://doi.org/10.48550/arXiv.1705.07857,2017,,,,,Explaining by removing: a unified framework for model explanation,1,,,,,,
Basti,Too few citations,Meaningful Perturbations (MP),https://doi.org/10.1109/ICCV.2017.371,2017,,,,,Explaining by removing: a unified framework for model explanation,1,,,,,,
Basti,Too few citations,"Extremal
Perturbations (EP)",https://doi.org/10.48550/arXiv.1910.08485,2019,,,,,Explaining by removing: a unified framework for model explanation,1,,,,,,
Basti,Too few citations,FIDO-CA,https://doi.org/10.48550/arXiv.1807.08024,2018,,,,,Explaining by removing: a unified framework for model explanation,1,(Generative model),,,,,
Basti,Too few citations,Orthogonal Matching Pursuit,https://doi.org/10.1109/78.258082,1993,,,,,Stability selection,1,,,,,,
Basti,Too few citations,Koller-Sahami metric (KS),https://ai.stanford.edu/~koller/Papers/Koller+Sahami:ICML96.pdf,1996,,,,,Conditional Likelihood Maximisation: A Unifying Framework for Information Theoretic Feature Selection,1,,,,,,
Basti,Too few citations,IF,https://doi.org/10.1109/ICCV.2003.1238356,2003,,,,,Conditional Likelihood Maximisation: A Unifying Framework for Information Theoretic Feature Selection,1,,,,,,
Basti,Too few citations,MinRed,https://doi.org/10.1007/978-3-540-35488-8,2006,,,,,Conditional Likelihood Maximisation: A Unifying Framework for Information Theoretic Feature Selection,1,,,,,,
Basti,Too few citations,Interaction Gain FS,https://api.semanticscholar.org/CorpusID:13975272,2008,,,,,Conditional Likelihood Maximisation: A Unifying Framework for Information Theoretic Feature Selection,1,,,,,,
Basti,Too few citations,SOA,https://doi.org/10.1109/TSMCA.2008.2007977,2009,,,,,Conditional Likelihood Maximisation: A Unifying Framework for Information Theoretic Feature Selection,1,,,,,,
Basti,Too few citations,"Feature selection for
sparse clustering",https://doi.org/10.1198/jasa.2010.tm09415,2010,,,,,A review of feature selection methods with applications,1,,,,,,
Basti,Too few citations,Relief C,https://doi.org/10.1109/ICTAI.2011.135,2011,,,,,A review of feature selection methods with applications,1,,,,,,
Basti,Too few citations,Feature Weighting k means,https://link.springer.com/content/pdf/10.1023/A:1024016609528.pdf,2003,,,,,A review of feature selection methods with applications,1,,,,,,
Basti,Too few citations,"Localized Feature
Selection Based on
Scatter Separability
(LFSBSS)",https://doi.org/10.1016/j.patrec.2007.08.012,2008,,,,,A review of feature selection methods with applications,1,,,,,,
Basti,Too few citations,FOCUS,,,,,,,Wrappers for feature subset selection,1,,,,,,
Basti,Too few citations,ID3,,,,,,,Wrappers for feature subset selection,1,,,,,,
Basti,Too few citations,NB,,,,,,,Wrappers for feature subset selection,1,,,,,,
Basti,Too few citations,Bayesian,,,,,,,A review of feature selection techniques in bioinformatics,1,,,,,,
Basti,Too few citations,Regression,,,,,,,A review of feature selection techniques in bioinformatics,1,,,,,,
Basti,Too few citations,Gamma,,,,,,,A review of feature selection techniques in bioinformatics,1,,,,,,
Basti,Too few citations,Wilcoxon rank sum,,,,,,,A review of feature selection techniques in bioinformatics,1,,,,,,
Basti,Too few citations,BSS/WSS,,,,,,,A review of feature selection techniques in bioinformatics,1,,,,,,
Basti,Too few citations,Rank products,,,,,,,A review of feature selection techniques in bioinformatics,1,,,,,,
Basti,Too few citations,Random permutations,,,,,,,A review of feature selection techniques in bioinformatics,1,,,,,,
Basti,Too few citations,TNoM,,,,,,,A review of feature selection techniques in bioinformatics,1,,,,,,
Basti,Too few citations,Bivariate,,,,,,,A review of feature selection techniques in bioinformatics,1,,,,,,
Basti,Too few citations,USC,,,,,,,A review of feature selection techniques in bioinformatics,1,,,,,,
Basti,Too few citations,Modified Perceptron by Truncation for OFS,,,,,,,Online feature selection and its applications,1,,,,,,
Basti,Too few citations,Correlation Coefficient,,,,,,,A survey of feature selection and feature extraction techniques in machine learning,1,,,,,,
Basti,Too few citations,BW-Ratio,,,,,,,A survey of feature selection and feature extraction techniques in machine learning,1,,,,,,
Basti,Too few citations,PAM,,,,,,,A survey of feature selection and feature extraction techniques in machine learning,1,,,,,,
Basti,Too few citations,PCA,,,,,,,A survey of feature selection and feature extraction techniques in machine learning,1,,,,,,
Basti,Too few citations,LFS (lazy feature selection,,,,,,,A survey on feature selection methods,1,,,,,,
Basti,Too few citations,Heuristic Search (GA),,,,,,,A survey on feature selection methods,1,,,,,,
Basti,Too few citations,Ridge (L2),,,,,,,Feature selection: a review and comparative study,1,,,,,,
Basti,Too few citations,GSFS,,,,,,,Feature selection: Evaluation application and small sample performance,1,,,,,,
Basti,Too few citations,GSBE,,,,,,,Feature selection: Evaluation application and small sample performance,1,,,,,,
Basti,Too few citations,BAB,https://doi.org/10.1109/TC.1977.1674939,1977,,,,,Feature selection: Evaluation application and small sample performance,1,,,,,,
Basti,Too few citations,BAB*,https://doi.org/10.1016/0031-3203(93)90054-Z,1993,,,,,Feature selection: Evaluation application and small sample performance,1,,,,,,
Basti,Too few citations,NP (node pruning),https://doi.org/10.1109/ICPR.1994.577060,1994,,,,,Feature selection: Evaluation application and small sample performance,1,,,,,,
Basti,Too few citations,WrapperSubsetEval,http://www.cs.waikato.ac.nz/ml/weka/,2005,,,,,A review of feature selection methods on synthetic data,1,,,,,,
Basti,Too few citations,FS-P,"Mejía-Lavalle, Manuel, Enrique Sucar, and Gustavo Arroyo. ""Feature selection with a perceptron neural net."" Proceedings of the international workshop on feature selection for data mining. 2006.",2006,,,,,A review of feature selection methods on synthetic data,1,,,,,,
Basti,Too few citations,Md (measure of monotone dependence),https://doi.org/10.1109/ICMLA.2010.148,2010,,,,,A review of feature selection methods on synthetic data,1,,,,,,
Basti,Too few citations,Document Frequency,,,,,,,Evaluation of feature selection methods for text classification with small datasets using multiple criteria decision-making methods,1,,,,,,
Basti,Too few citations,Distinguishing Feature Selector,,,,,,,Evaluation of feature selection methods for text classification with small datasets using multiple criteria decision-making methods,1,,,,,,
Basti,Too few citations,Expected Cross Entropy,,,,,,,Evaluation of feature selection methods for text classification with small datasets using multiple criteria decision-making methods,1,,,,,,
Basti,Too few citations,Odds Ratio,,,,,,,Evaluation of feature selection methods for text classification with small datasets using multiple criteria decision-making methods,1,,,,,,
Basti,Too few citations,Weighted Log Likelihood Ratio,,,,,,,Evaluation of feature selection methods for text classification with small datasets using multiple criteria decision-making methods,1,,,,,,
Basti,Too few citations,Stability Selection,,,,,,,ROOFS: Robust Bio Marker Feature Selection,1,,,,,,
Basti,Too few citations,EDDI-GG,https://doi.org/10.48550/arXiv.1809.11142,2019,,,,,AFABench: A Generic Framework for Benchmarking Active Feature Acquisition,1,,,,,,
Basti,Too few citations,GDFS-DG,https://doi.org/10.48550/arXiv.2301.00557,2023,,,,,AFABench: A Generic Framework for Benchmarking Active Feature Acquisition,1,,,,,,
Basti,Too few citations,DIME-DG,https://doi.org/10.48550/arXiv.2306.03301,2023,,,,,AFABench: A Generic Framework for Benchmarking Active Feature Acquisition,1,,,,,,
Basti,Too few citations,JAFA-MFRL,https://proceedings.neurips.cc/paper_files/paper/2018/file/e5841df2166dd424a57127423d276bbe-Paper.pdf,2018,,,,,AFABench: A Generic Framework for Benchmarking Active Feature Acquisition,1,,,,,,
Basti,Too few citations,ODIN-MBRL,https://realworld-sdm.github.io/paper/21.pdf,2019,,,,,AFABench: A Generic Framework for Benchmarking Active Feature Acquisition,1,,,,,,
Basti,Too few citations,ODIN-MFRL,https://realworld-sdm.github.io/paper/21.pdf,2019,,,,,AFABench: A Generic Framework for Benchmarking Active Feature Acquisition,1,,,,,,
Basti,Too few citations,AACO,https://doi.org/10.48550/arXiv.2302.13960,2024,,,,,AFABench: A Generic Framework for Benchmarking Active Feature Acquisition,1,,,,,,
Basti,Too few citations,PT-S,https://doi.org/10.1023/A:1010933404324,2001,,,,,AFABench: A Generic Framework for Benchmarking Active Feature Acquisition,1,"RF importance for randomly permuted values of features (not really well explained, same source as RF Importance method",,,,,
